X,Y,OBJECTID,ID_MA98,AG_MG_KG,AS_MG_KG,BA_MG_KG,BE_MG_KG,CD_MG_KG,CR_MG_KG,CU_MG_KG,HG_MG_KG,MN_MG_KG,MO_MG_KG,NI_MG_KG,PB_MG_KG,SB_MG_KG,SE_MG_KG,ZN_MG_KG,ID_UFSCL,FDOTID_UF,LAB_NUM_UF,DATE_UF,COUNTY_UF,SOIL_ORDER,SO_SER_UF,SOIL_TY_UF,HORIZON_UF,PARENT_UF,LATITUDE,LONGITUDE,ALBERS_X,ALBERS_Y
743509.518800002,353893.9586,58,3697,0.41,0.24,25.3,0.360,0.004,7.2,1.4,4.3,12.500,0.55,7.9,3.46,0.150,0.21,2.6,S43_022,3697,3697,1978/05/22 00:00:00+00,Martin,OLLS,CHOBEE LOAMY SAND,"Typic Argiaquolls, fine-loamy, siliceous, superactive, hyperthermic.",A1,Moderately fine-textured sediments deposited by slow-moving water.,27.146856,-80.526985,743509.24,353894.08
753592.875799999,355431.7298,59,3711,0.31,1.11,15.1,0.230,0.07,1.4,1,5.2,4.100,0.31,6.8,5.6,0.300,0.04,1.9,S43_024,3711,3711,1978/05/23 00:00:00+00,Martin,ODS,WABASSO SAND,"Alfic Alaquods, sandy over loamy, siliceous, active, hyperthermic.",Oa,Sandy and loamy marine sediments.,27.158105,-80.424644,753592.56,355431.9
514739.946400002,642792.1082,60,7168,0.45,3.7,4.7,0.200,0.004,3.1,2,3.7,3.600,0.9,9,1.05,0.150,0.08,3.2,S21_006,7168,7168,1986/07/16 00:00:00+00,Gilchrist,ODS,Leon fine sand,"Aeric Alaquods, sandy, siliceous, thermic",Ap,Sandy marine sediments,29.787038,-82.811505,514739.86,642792.43
787704.579399999,315569.1777,61,539,0.36,0.1,7.7,0.070,0.004,1.2,0.5,207.1,9.800,0.09,8.3,4.93,NA,0.14,3.6,S50_011,539,539,1973/03/19 00:00:00+00,Palm Beach,ENTS,BASINGER SAND,"Spodic Psammaquents, siliceous, hyperthermic.",A,Sandy marine sediments.,26.789917,-80.092711,787704.34,315569.26
531347.626200002,602605.0905,62,6812,0.4,4.7,17.7,0.400,0.12,6.4,6.4,4.7,36.900,0.9,10,31.92,0.250,0.02,48.5,S38_012,6812,6812,1986/01/29 00:00:00+00,Levy,ULTS,SPARR FINE SAND,"AQUIC GROSSARENIC  PALEUDULTS, LOAMY, SILICEOUS,  SUBACTIVE,  HYPERTHERMIC",Ap,Sandy and loamy marine sediments.,29.423557,-82.644071,531347.4,602605.29
556820.517999999,634041.9625,63,2172,0.35,0.28,16.4,0.500,0.004,4.4,3.9,3.7,124.000,0.9,8.3,4.23,0.300,0.04,6.2,S01_063,2172,2172,1975/07/30 00:00:00+00,Alachua,ULTS,MILLHOPPER SAND,"Grossarenic Paleudults, loamy, siliceous, semiactive, hyperthermic.",Ap,Thick beds of sandy and loamy marine sediments.,29.703906,-82.376864,556820.36,634042.19
596546.877999999,377918.6727,64,4363,0.33,0.4,7.3,0.260,0.004,1.4,0.7,2.4,2.400,0.53,5,2.13,0.300,0.08,3,S25_014,4363,4363,1980/01/22 00:00:00+00,Hardee,ODS,MYAKKA FINE SAND,"Aeric Alaquods, sandy, siliceous, hyperthermic.",A,Sandy marine deposits.,27.392491,-82.00856,596546.56,377918.71
557370.904199999,555637.8662,65,4706,0.25,0,6.3,0.070,0.004,2,0.6,1.9,4.600,0.09,6.1,1.58,0.150,0.03,1.2,S09_006,4706,4706,1980/11/20 00:00:00+00,Citrus,ODS,ZOLFO FINE SAND,"Aquic Grossarenic Alorthods, sandy, siliceous, hyperthermic.",A,Sandy marine sediments.,28.997794,-82.381817,557370.71,555638.02
559743.6217,635480.1332,66,2735,0.26,0.15,6,0.200,0.004,1.1,0.7,3.5,3.600,0.24,6.2,2.5,NA,0.08,1.3,S01_078,2735,2735,1976/06/23 00:00:00+00,Alachua,ODS,NEWNAN SAND,"AQUIC ULTIC ALORTHODS, SANDY, SILICEOUS, HYPERTHERMIC",A,Thick beds of sandy and loamy marine deposits.,29.716509,-82.346413,559743.47,635480.41
746351.250300001,352361.8075,67,2806,0.92,1.36,38.6,0.420,0.1,30,18.4,22.2,14.700,14.14,33.4,8.82,NA,1.14,4.4,S43_015,2806,2806,1976/08/05 00:00:00+00,Martin,ISTS,GATOR MUCK,"TERRIC HAPLOSAPRISTS, LOAMY, SILICEOUS, EUIC, HYPERTHERMIC",Oap,Moderately thick beds of hydrophytic plant remains deposited over loamy marine sediments.,27.132339,-80.498709,746350.96,352361.86
